provider,model_id,variant,first_measured,last_measured,n_requests,n_failed,last_failure_reason
anthropic,claude-fable-5,default,2026-07-09,2026-08-22,112,18,
anthropic,claude-haiku-4-5-20251001,default,2026-06-25,2026-08-22,167,2,
anthropic,claude-opus-4-6,default,2026-06-25,2026-08-22,224,1,
anthropic,claude-opus-4-7,default,2026-06-25,2026-08-22,171,2,
anthropic,claude-opus-4-8,default,2026-06-25,2026-08-22,170,2,
anthropic,claude-opus-5,default,2026-08-06,2026-08-22,70,0,
anthropic,claude-sonnet-4-6,default,2026-06-25,2026-08-22,221,1,
anthropic,claude-sonnet-5,default,2026-07-09,2026-08-22,139,0,
deepseek,deepseek-chat,default,2026-07-23,2026-08-22,105,8,
deepseek,deepseek-v4-flash,high,2026-06-25,2026-08-22,188,0,
deepseek,deepseek-v4-flash,minimal,2026-06-25,2026-08-22,187,0,
deepseek,deepseek-v4-pro,high,2026-06-25,2026-08-22,237,0,
deepseek,deepseek-v4-pro,minimal,2026-06-25,2026-08-22,247,1,
google,gemini-2.5-flash,default,2026-07-09,2026-08-22,473,1,
google,gemini-2.5-flash-lite,default,2026-06-25,2026-08-22,162,1,
google,gemini-3-flash-preview,default,2026-06-25,2026-08-22,163,0,
google,gemini-3-flash-preview,high,2026-07-23,2026-08-22,106,0,
google,gemini-3-flash-preview,low,2026-07-23,2026-08-22,106,0,
google,gemini-3-pro-preview,default,2026-06-25,2026-08-07,118,118,"request failed: Error code: 404 - [{'error': {'code': 404, '"
google,gemini-3.1-flash-lite-preview,default,2026-06-25,2026-08-22,162,0,
google,gemini-3.1-pro-preview,default,2026-06-25,2026-08-22,162,1,
google,gemini-3.1-pro-preview,high,2026-07-23,2026-08-22,101,0,
google,gemini-3.1-pro-preview,low,2026-07-23,2026-08-22,106,1,
google,gemini-3.5-flash,default,2026-06-25,2026-08-22,163,1,
google,gemini-3.5-flash-lite,default,2026-07-22,2026-08-22,112,0,
google,gemini-3.6-flash,default,2026-07-22,2026-08-22,110,0,
google,gemma-4-31b-it,default,2026-06-25,2026-08-22,234,12,"request failed: Error code: 429 - [{'error': {'code': 429, '"
mistral,magistral-medium-latest,default,2026-06-25,2026-08-22,177,37,
mistral,magistral-small-latest,default,2026-06-25,2026-08-22,164,0,
mistral,ministral-8b-latest,default,2026-06-25,2026-08-22,161,0,
mistral,mistral-large-latest,default,2026-06-25,2026-08-22,217,0,
mistral,mistral-medium-3.5,default,2026-06-25,2026-08-22,161,0,
mistral,mistral-medium-latest,default,2026-06-25,2026-08-22,160,0,
mistral,mistral-small-latest,default,2026-06-25,2026-08-22,167,0,
openai,gpt-3.5-turbo,default,2026-06-24,2026-06-25,9,0,
openai,gpt-3.5-turbo-0125,default,2026-06-24,2026-06-25,9,0,
openai,gpt-3.5-turbo-1106,default,2026-06-24,2026-06-25,9,0,
openai,gpt-4,default,2026-06-24,2026-06-25,9,2,"request failed: Error code: 400 - {'error': {'message': ""Thi"
openai,gpt-4-0613,default,2026-06-24,2026-06-25,9,2,"request failed: Error code: 400 - {'error': {'message': ""Thi"
openai,gpt-4-turbo,default,2026-06-24,2026-06-25,9,0,
openai,gpt-4.1,default,2026-06-24,2026-06-25,6,0,
openai,gpt-4.1-mini,default,2026-06-24,2026-06-25,7,0,
openai,gpt-4.1-nano,default,2026-06-24,2026-06-25,3,0,
openai,gpt-4o,default,2026-06-24,2026-06-25,3,0,
openai,gpt-4o-mini,default,2026-06-24,2026-08-22,222,0,
openai,gpt-5,high,2026-06-25,2026-08-22,195,9,
openai,gpt-5,low,2026-06-24,2026-08-22,219,1,
openai,gpt-5,medium,2026-06-24,2026-08-22,213,2,
openai,gpt-5,minimal,2026-06-24,2026-08-22,220,0,
openai,gpt-5,xhigh,2026-06-25,2026-08-22,198,2,
openai,gpt-5-codex,default,2026-06-24,2026-06-25,2,2,request failed: Error code: 404 - {'error': {'message': 'Thi
openai,gpt-5-mini,low,2026-06-24,2026-06-25,2,0,
openai,gpt-5-mini,medium,2026-06-24,2026-06-25,3,0,
openai,gpt-5-mini,minimal,2026-06-24,2026-06-25,2,0,
openai,gpt-5-nano,high,2026-06-24,2026-06-24,1,1,no tokens
openai,gpt-5-nano,low,2026-06-24,2026-06-25,3,1,no tokens
openai,gpt-5-nano,medium,2026-06-24,2026-06-25,4,1,no tokens
openai,gpt-5-nano,minimal,2026-06-24,2026-06-25,3,0,
openai,gpt-5-nano,xhigh,2026-06-24,2026-06-24,1,1,no tokens
openai,gpt-5.1,low,2026-06-24,2026-06-25,2,0,
openai,gpt-5.1,medium,2026-06-24,2026-06-25,2,0,
openai,gpt-5.1,minimal,2026-06-24,2026-06-25,2,0,
openai,gpt-5.1-codex,default,2026-06-24,2026-06-25,2,2,request failed: Error code: 404 - {'error': {'message': 'Thi
openai,gpt-5.1-codex-mini,default,2026-06-24,2026-06-25,2,2,request failed: Error code: 404 - {'error': {'message': 'Thi
openai,gpt-5.2,high,2026-06-25,2026-08-22,195,0,
openai,gpt-5.2,low,2026-06-24,2026-08-22,201,0,
openai,gpt-5.2,medium,2026-06-24,2026-08-22,199,0,
openai,gpt-5.2,minimal,2026-06-24,2026-08-22,207,0,
openai,gpt-5.2,xhigh,2026-06-25,2026-08-22,194,0,
openai,gpt-5.2-codex,default,2026-06-24,2026-06-25,2,2,request failed: Error code: 404 - {'error': {'message': 'Thi
openai,gpt-5.3-codex,default,2026-06-24,2026-06-25,2,2,request failed: Error code: 404 - {'error': {'message': 'Thi
openai,gpt-5.4,high,2026-06-25,2026-08-22,198,0,
openai,gpt-5.4,low,2026-06-24,2026-08-22,202,0,
openai,gpt-5.4,medium,2026-06-24,2026-08-22,208,0,
openai,gpt-5.4,minimal,2026-06-24,2026-08-22,207,0,
openai,gpt-5.4,xhigh,2026-06-25,2026-08-22,195,41,
openai,gpt-5.4-mini,high,2026-06-25,2026-08-22,195,1,
openai,gpt-5.4-mini,low,2026-06-24,2026-08-22,207,0,
openai,gpt-5.4-mini,medium,2026-06-24,2026-08-22,207,0,
openai,gpt-5.4-mini,minimal,2026-06-24,2026-08-22,208,0,
openai,gpt-5.4-mini,xhigh,2026-06-25,2026-08-22,199,88,no tokens
openai,gpt-5.4-nano,high,2026-06-25,2026-08-22,199,0,
openai,gpt-5.4-nano,low,2026-06-24,2026-08-22,207,0,
openai,gpt-5.4-nano,medium,2026-06-24,2026-08-22,207,0,
openai,gpt-5.4-nano,minimal,2026-06-24,2026-08-22,207,0,
openai,gpt-5.4-nano,xhigh,2026-06-25,2026-08-22,194,1,
openai,gpt-5.5,high,2026-06-25,2026-08-22,201,1,
openai,gpt-5.5,low,2026-06-24,2026-08-22,210,0,
openai,gpt-5.5,medium,2026-06-24,2026-08-22,203,0,
openai,gpt-5.5,minimal,2026-06-24,2026-08-22,203,3,
openai,gpt-5.5,xhigh,2026-06-25,2026-08-22,199,0,
openai,gpt-5.6-luna,high,2026-07-10,2026-08-22,175,4,
openai,gpt-5.6-luna,low,2026-07-10,2026-08-22,175,2,
