row,label,days,T_low,T_high,R_n,R_median,R_low,R_high
gpt-4o-mini,gpt-4o-mini,57,0.866,1.1563,0,1.0,1.0,1.0
gpt-5 (non-reasoning),gpt-5 (minimal),57,0.8867,1.1253,0,1.0,1.0,1.0
gpt-5 (low),gpt-5 (low),57,0.8833,1.1249,43,2.229,0.9725,1.0356
gpt-5 (medium),gpt-5 (medium),57,0.8899,1.1299,37,3.838,0.8875,1.046
gpt-5 (high),gpt-5 (high),56,0.8882,1.1202,32,6.116,0.951,1.0593
gpt-5 (xhigh),gpt-5 (xhigh),56,0.9,1.1394,38,3.749,0.9429,1.079
gpt-5.2 (non-reasoning),gpt-5.2 (minimal),57,0.8907,1.1051,0,1.0,1.0,1.0
gpt-5.2 (low),gpt-5.2 (low),57,0.8991,1.1179,39,1.667,0.9779,1.0318
gpt-5.2 (medium),gpt-5.2 (medium),57,0.8998,1.1139,39,1.838,0.9838,1.0163
gpt-5.2 (high),gpt-5.2 (high),56,0.8995,1.101,39,2.029,0.9646,1.0078
gpt-5.2 (xhigh),gpt-5.2 (xhigh),56,0.9016,1.1161,34,3.225,0.9268,1.0231
gpt-5.4 (non-reasoning),gpt-5.4 (minimal),57,0.8933,1.1286,0,1.0,1.0,1.0
gpt-5.4 (low),gpt-5.4 (low),57,0.8956,1.1064,40,1.347,0.9913,1.0137
gpt-5.4 (medium),gpt-5.4 (medium),57,0.8776,1.1057,40,1.747,0.9733,1.0297
gpt-5.4 (high),gpt-5.4 (high),56,0.8899,1.1001,39,2.196,0.9705,1.0694
gpt-5.4 (xhigh),gpt-5.4 (xhigh),44,0.9036,1.1253,39,3.885,0.9461,1.0915
gpt-5.4-mini (non-reasoning),gpt-5.4-mini (minimal),57,0.8987,1.1107,0,1.0,1.0,1.0
gpt-5.4-mini (low),gpt-5.4-mini (low),57,0.9022,1.111,40,1.436,0.9799,1.0185
gpt-5.4-mini (medium),gpt-5.4-mini (medium),57,0.9003,1.1104,40,1.665,0.9877,1.0957
gpt-5.4-mini (high),gpt-5.4-mini (high),56,0.8994,1.1045,39,2.911,0.9627,1.0404
gpt-5.4-mini (xhigh),gpt-5.4-mini (xhigh),23,0.8561,1.1887,26,12.493,0.7802,1.2569
gpt-5.4-nano (non-reasoning),gpt-5.4-nano (minimal),57,0.8914,1.114,0,1.0,1.0,1.0
gpt-5.4-nano (low),gpt-5.4-nano (low),57,0.8991,1.1292,40,1.609,0.9887,1.0187
gpt-5.4-nano (medium),gpt-5.4-nano (medium),57,0.8995,1.1094,40,1.832,0.9849,1.0171
gpt-5.4-nano (high),gpt-5.4-nano (high),56,0.8803,1.1087,39,1.968,0.9665,1.0241
gpt-5.4-nano (xhigh),gpt-5.4-nano (xhigh),56,0.8993,1.1416,39,3.695,0.9596,1.0229
gpt-5.5 (minimal),gpt-5.5 (minimal),57,0.8903,1.1137,39,1.708,0.9514,1.1035
gpt-5.5 (low),gpt-5.5 (low),57,0.8957,1.1175,39,1.448,0.9768,1.0135
gpt-5.5 (medium),gpt-5.5 (medium),57,0.8834,1.1052,39,1.692,0.9722,1.1574
gpt-5.5 (high),gpt-5.5 (high),56,0.8901,1.1104,39,2.389,0.9751,1.0129
gpt-5.5 (xhigh),gpt-5.5 (xhigh),56,0.892,1.1057,38,2.459,0.9676,1.1021
gpt-5.6-luna (minimal),gpt-5.6-luna (minimal),41,0.8815,1.1126,40,1.598,0.986,1.0229
gpt-5.6-luna (low),gpt-5.6-luna (low),41,0.8847,1.1121,40,1.428,0.9947,1.0209
gpt-5.6-luna (medium),gpt-5.6-luna (medium),41,0.8771,1.1027,40,1.583,0.9907,1.0184
gpt-5.6-luna (high),gpt-5.6-luna (high),41,0.894,1.1213,40,2.096,0.9613,1.0726
gpt-5.6-luna (xhigh),gpt-5.6-luna (xhigh),41,0.9007,1.13,39,2.58,0.9655,1.0339
gpt-5.6-sol (minimal),gpt-5.6-sol (minimal),40,0.8934,1.1058,40,1.437,0.9813,1.0104
gpt-5.6-sol (low),gpt-5.6-sol (low),41,0.8934,1.1204,40,1.359,0.9875,1.0124
gpt-5.6-sol (medium),gpt-5.6-sol (medium),40,0.8746,1.0989,39,1.473,0.9826,1.0123
gpt-5.6-sol (high),gpt-5.6-sol (high),39,0.8951,1.1205,39,1.641,0.9852,1.0107
gpt-5.6-sol (xhigh),gpt-5.6-sol (xhigh),40,0.8573,1.1072,39,1.914,0.9749,1.0489
gpt-5.6-terra (minimal),gpt-5.6-terra (minimal),40,0.8911,1.1174,40,1.382,0.9898,1.0321
gpt-5.6-terra (low),gpt-5.6-terra (low),39,0.9007,1.1049,40,1.358,0.984,1.0103
gpt-5.6-terra (medium),gpt-5.6-terra (medium),40,0.8988,1.1045,41,1.366,0.9814,1.0095
gpt-5.6-terra (high),gpt-5.6-terra (high),40,0.9007,1.128,39,1.445,0.9921,1.011
gpt-5.6-terra (xhigh),gpt-5.6-terra (xhigh),40,0.8917,1.1072,39,1.684,0.9746,1.0229
