row,label,tps_p50,n_tps,tps_daily_mean,tps_daily_sd,days,R_central,n_R,R_short,n_short,R_long,n_long,R_floor,R_heavy,n_heavy,mode,pqpc_class
gpt-4o-mini,gpt-4o-mini,78.3,105,80.1,23.9,57,1.0,47,1.0,46,1.0,4,1.0,1.0,12,None,4o
gpt-5 (non-reasoning),gpt-5 (minimal),60.78,102,61.4,13.3,57,1.0,46,1.0,45,1.0,4,1.0,1.0,14,None,5x
gpt-5 (low),gpt-5 (low),61.0,102,61.7,14.2,57,2.23,43,3.31,45,1.87,3,1.15,5.11,13,Low,5x
gpt-5 (medium),gpt-5 (medium),63.47,103,60.8,14.5,57,3.84,37,5.81,36,3.34,2,1.63,8.23,12,Medium,5x
gpt-5 (high),gpt-5 (high),69.0,94,68.1,15.7,56,6.12,32,9.1,34,,0,3.24,14.39,12,High,5x
gpt-5 (xhigh),gpt-5 (xhigh),61.85,101,63.8,16.7,56,3.75,38,5.77,35,3.59,2,1.67,8.71,12,Xhigh,5x
gpt-5.2 (non-reasoning),gpt-5.2 (minimal),60.3,102,59.6,6.4,57,1.0,40,1.0,37,1.0,4,1.0,1.0,20,None,5x
gpt-5.2 (low),gpt-5.2 (low),57.53,102,57.0,6.0,57,1.67,39,1.89,37,1.5,4,1.02,2.71,13,Low,5x
gpt-5.2 (medium),gpt-5.2 (medium),57.78,101,57.9,6.3,57,1.84,39,2.27,37,1.69,4,1.07,3.58,12,Medium,5x
gpt-5.2 (high),gpt-5.2 (high),57.09,100,57.5,6.4,56,2.03,39,2.39,37,1.87,4,1.09,4.06,12,High,5x
gpt-5.2 (xhigh),gpt-5.2 (xhigh),59.39,102,59.1,6.9,56,3.22,34,3.59,37,,0,1.48,7.08,12,Xhigh,5x
gpt-5.4 (non-reasoning),gpt-5.4 (minimal),85.94,102,86.0,12.7,57,1.0,40,1.0,37,1.0,4,1.0,1.0,20,None,5x
gpt-5.4 (low),gpt-5.4 (low),91.65,102,92.1,16.3,57,1.35,40,1.41,36,1.28,4,1.01,1.99,14,Low,5x
gpt-5.4 (medium),gpt-5.4 (medium),94.25,103,93.0,10.7,57,1.75,40,1.71,37,1.6,4,1.06,2.82,20,Medium,5x
gpt-5.4 (high),gpt-5.4 (high),92.07,100,93.4,11.3,56,2.2,39,2.38,37,2.14,4,1.23,3.89,12,High,5x
gpt-5.4 (xhigh),gpt-5.4 (xhigh),95.16,61,95.6,10.1,44,3.89,39,4.05,36,2.99,1,1.44,6.84,12,Xhigh,5x
gpt-5.4-mini (non-reasoning),gpt-5.4-mini (minimal),145.41,103,140.5,18.1,57,1.0,40,1.0,37,1.0,4,1.0,1.0,20,None,5x
gpt-5.4-mini (low),gpt-5.4-mini (low),138.64,102,137.2,14.3,57,1.44,40,1.51,37,1.31,4,1.01,2.19,20,Low,5x
gpt-5.4-mini (medium),gpt-5.4-mini (medium),140.63,102,136.7,15.2,57,1.67,40,1.78,37,1.72,4,1.08,3.66,20,Medium,5x
gpt-5.4-mini (high),gpt-5.4-mini (high),142.46,100,140.4,13.5,56,2.91,39,2.65,37,2.56,4,1.25,6.81,12,High,5x
gpt-5.4-mini (xhigh),gpt-5.4-mini (xhigh),145.78,33,139.2,24.5,23,12.49,26,12.5,33,5.23,1,3.71,35.9,12,Xhigh,5x
gpt-5.4-nano (non-reasoning),gpt-5.4-nano (minimal),156.58,102,156.6,18.7,57,1.0,40,1.0,37,1.0,4,1.0,1.0,20,None,5x
gpt-5.4-nano (low),gpt-5.4-nano (low),153.07,102,154.1,18.5,57,1.61,40,1.73,37,1.46,4,1.02,2.85,20,Low,5x
gpt-5.4-nano (medium),gpt-5.4-nano (medium),156.0,102,152.3,22.1,57,1.83,40,1.98,37,1.83,4,1.07,3.62,20,Medium,5x
gpt-5.4-nano (high),gpt-5.4-nano (high),157.47,100,155.2,19.5,56,1.97,39,2.1,37,2.01,4,1.1,4.41,14,High,5x
gpt-5.4-nano (xhigh),gpt-5.4-nano (xhigh),154.37,99,153.7,19.8,56,3.7,39,4.1,37,3.89,4,2.03,8.31,12,Xhigh,5x
gpt-5.5 (minimal),gpt-5.5 (minimal),59.88,102,60.9,9.2,57,1.71,39,2.07,37,1.84,4,1.02,5.82,12,Minimal,5x
gpt-5.5 (low),gpt-5.5 (low),61.38,102,61.2,8.6,57,1.45,39,1.64,37,1.34,4,1.01,2.07,20,Low,5x
gpt-5.5 (medium),gpt-5.5 (medium),60.89,103,61.4,9.1,57,1.69,39,2.01,37,1.54,4,1.02,3.21,12,Medium,5x
gpt-5.5 (high),gpt-5.5 (high),60.69,101,61.5,9.0,56,2.39,39,2.99,36,2.2,4,1.14,4.93,12,High,5x
gpt-5.5 (xhigh),gpt-5.5 (xhigh),59.91,100,61.4,9.9,56,2.46,38,3.52,37,2.76,3,1.29,5.62,12,Xhigh,5x
gpt-5.6-luna (minimal),gpt-5.6-luna (minimal),129.9,68,127.8,19.9,41,1.6,40,2.04,37,1.5,4,1.03,2.71,20,Minimal,5x
gpt-5.6-luna (low),gpt-5.6-luna (low),131.85,68,130.0,21.1,41,1.43,40,1.73,37,1.36,4,1.02,2.06,20,Low,5x
gpt-5.6-luna (medium),gpt-5.6-luna (medium),134.91,68,135.1,29.1,41,1.58,40,1.97,37,1.47,4,1.03,2.7,20,Medium,5x
gpt-5.6-luna (high),gpt-5.6-luna (high),133.12,66,131.4,17.8,41,2.1,40,2.38,37,2.1,4,1.1,4.03,20,High,5x
gpt-5.6-luna (xhigh),gpt-5.6-luna (xhigh),130.2,66,130.1,20.3,41,2.58,39,3.43,37,2.29,4,1.22,5.31,13,Xhigh,5x
gpt-5.6-sol (minimal),gpt-5.6-sol (minimal),52.91,66,53.9,6.4,40,1.44,40,1.8,37,1.35,4,1.02,2.51,13,Minimal,5x
gpt-5.6-sol (low),gpt-5.6-sol (low),53.57,68,53.2,8.2,41,1.36,40,1.63,37,1.27,4,1.01,2.06,20,Low,5x
gpt-5.6-sol (medium),gpt-5.6-sol (medium),53.64,63,54.4,6.5,40,1.47,39,1.76,37,1.34,4,1.02,2.61,13,Medium,5x
gpt-5.6-sol (high),gpt-5.6-sol (high),53.63,63,53.5,6.6,39,1.64,39,2.04,37,1.52,4,1.06,3.19,12,High,5x
gpt-5.6-sol (xhigh),gpt-5.6-sol (xhigh),55.21,71,54.7,8.5,40,1.91,39,2.13,37,2.01,4,1.15,3.66,12,Xhigh,5x
gpt-5.6-terra (minimal),gpt-5.6-terra (minimal),96.85,68,94.5,11.9,40,1.38,40,1.6,37,1.35,4,1.01,2.28,20,Minimal,5x
gpt-5.6-terra (low),gpt-5.6-terra (low),93.61,67,93.1,9.7,39,1.36,40,1.54,37,1.22,4,1.01,2.41,20,Low,5x
gpt-5.6-terra (medium),gpt-5.6-terra (medium),94.86,67,93.5,9.1,40,1.37,41,1.63,37,1.32,4,1.01,2.48,20,Medium,5x
gpt-5.6-terra (high),gpt-5.6-terra (high),95.52,66,94.0,9.7,40,1.45,39,1.66,38,1.34,4,1.02,2.8,20,High,5x
gpt-5.6-terra (xhigh),gpt-5.6-terra (xhigh),95.22,66,94.7,8.4,40,1.68,39,1.94,36,1.57,3,1.08,3.88,20,Xhigh,5x
