numerator,denominator,central,low,high,low_factor,high_factor
gpt-5.6-sol (minimal),gpt-5.6-luna (minimal),2.207,2.052,2.372,0.9296,1.0746
gpt-5.6-sol (medium),gpt-5.6-luna (medium),2.34,2.153,2.521,0.92,1.0771
gpt-5.6-sol (xhigh),gpt-5.6-luna (xhigh),1.749,1.545,1.867,0.8835,1.0673
gpt-5.6-sol (xhigh),gpt-5.6-sol (minimal),1.276,1.154,1.369,0.9039,1.0726
gpt-5.6-luna (xhigh),gpt-5.6-luna (minimal),1.611,1.501,1.776,0.9322,1.1027
gpt-5.6-terra (xhigh),gpt-5.6-terra (minimal),1.239,1.151,1.313,0.9287,1.0594
gpt-5.5 (xhigh),gpt-5.5 (minimal),1.439,1.277,1.589,0.8876,1.1046
gpt-5.4 (xhigh),gpt-5.4 (non-reasoning),3.509,3.216,3.955,0.9167,1.1272
gpt-5.4 (xhigh),gpt-5.4-nano (xhigh),1.706,1.54,1.947,0.9029,1.1417
gpt-5.4 (xhigh),gpt-5.4-mini (xhigh),0.476,0.36,0.667,0.7563,1.3999
gpt-5.5 (xhigh),gpt-5.6-terra (xhigh),2.321,2.174,2.582,0.9364,1.1122
