Pinching table — Table 11 (Ferson & Ginzburg 1996): envelope top-to-bottom ratio with each factor collapsed to its central in turn. Narrowing = full ratio / pinched ratio. Rows link to Levers.,,,,,,,,,,,
Model,Full envelope ratio,Pinch A,Pinch PQPC,Pinch P,Pinch T,Pinch R,Narrowing: A,Narrowing: PQPC,Narrowing: P,Narrowing: T,Narrowing: R
gpt-4o-mini,4.039978,1.447659,4.039978,3.726194,3.025704,4.039978,2.790698,1.0,1.084211,1.335219,1.0
gpt-5 (non-reasoning),10.722693,3.842298,3.839883,9.889862,8.449135,10.722693,2.790698,2.792453,1.084211,1.269088,1.0
gpt-5 (low),11.458305,4.105893,4.103312,10.568339,8.997352,10.76014,2.790698,2.792453,1.084211,1.27352,1.064884
gpt-5 (medium),12.643706,4.530661,4.527814,11.66167,9.958079,10.72781,2.790698,2.792453,1.084211,1.269693,1.178592
gpt-5 (high),11.869584,4.253268,4.250594,10.947675,9.411324,10.65607,2.790698,2.792453,1.084211,1.261202,1.11388
gpt-5 (xhigh),12.240574,4.386206,4.383449,11.289849,9.6687,10.696605,2.790698,2.792453,1.084211,1.266,1.144342
gpt-5.2 (non-reasoning),10.482923,3.756381,3.75402,9.668715,8.449135,10.482923,2.790698,2.792453,1.084211,1.24071,1.0
gpt-5.2 (low),11.084301,3.971874,3.969378,10.223384,8.914835,10.50527,2.790698,2.792453,1.084211,1.243354,1.055118
gpt-5.2 (medium),10.80507,3.871817,3.869383,9.965841,8.728254,10.459537,2.790698,2.792453,1.084211,1.237942,1.033035
gpt-5.2 (high),10.805018,3.871798,3.869365,9.965794,8.827533,10.341854,2.790698,2.792453,1.084211,1.224013,1.044785
gpt-5.2 (xhigh),11.546052,4.137335,4.134735,10.649272,9.32705,10.459272,2.790698,2.792453,1.084211,1.23791,1.103906
gpt-5.4-nano (non-reasoning),10.559049,3.783659,3.781281,9.738929,8.449135,10.559049,2.790698,2.792453,1.084211,1.24972,1.0
gpt-5.4-nano (low),10.933442,3.917817,3.915354,10.084242,8.705506,10.61146,2.790698,2.792453,1.084211,1.255923,1.030343
gpt-5.4-nano (medium),10.761449,3.856186,3.853762,9.925609,8.725368,10.420757,2.790698,2.792453,1.084211,1.233352,1.032694
gpt-5.4-nano (high),11.275508,4.04039,4.037851,10.39974,8.952674,10.641322,2.790698,2.792453,1.084211,1.259457,1.059596
gpt-5.4-nano (xhigh),11.433115,4.096866,4.094291,10.545106,9.006482,10.725601,2.790698,2.792453,1.084211,1.269432,1.065965
gpt-5.4-mini (non-reasoning),10.442255,3.741808,3.739456,9.631206,8.449135,10.442255,2.790698,2.792453,1.084211,1.235896,1.0
gpt-5.4-mini (low),10.814408,3.875163,3.872727,9.974454,8.781962,10.404555,2.790698,2.792453,1.084211,1.231434,1.039392
gpt-5.4-mini (medium),11.560352,4.14246,4.139856,10.662461,9.373005,10.420882,2.790698,2.792453,1.084211,1.233367,1.109345
gpt-5.4-mini (high),11.213326,4.018109,4.015583,10.342388,9.131069,10.375884,2.790698,2.792453,1.084211,1.228041,1.080711
gpt-5.4-mini (xhigh),18.899695,6.772391,6.768134,17.431758,13.611533,11.731675,2.790698,2.792453,1.084211,1.388506,1.610997
gpt-5.4 (non-reasoning),10.674683,3.825095,3.82269,9.845581,8.449135,10.674683,2.790698,2.792453,1.084211,1.263405,1.0
gpt-5.4 (low),10.673692,3.82474,3.822336,9.844668,8.640057,10.437833,2.790698,2.792453,1.084211,1.235373,1.022597
gpt-5.4 (medium),11.262037,4.035563,4.033027,10.387315,8.938739,10.645179,2.790698,2.792453,1.084211,1.259913,1.057947
gpt-5.4 (high),11.509272,4.124156,4.121564,10.615348,9.310155,10.444874,2.790698,2.792453,1.084211,1.236206,1.101906
gpt-5.4 (xhigh),12.139227,4.34989,4.347156,11.196375,9.747628,10.522147,2.790698,2.792453,1.084211,1.245352,1.153684
gpt-5.5 (minimal),12.258951,4.392791,4.39003,11.306799,9.799896,10.569248,2.790698,2.792453,1.084211,1.250927,1.15987
gpt-5.5 (low),10.937431,3.919246,3.916783,10.087922,8.766583,10.541374,2.790698,2.792453,1.084211,1.247628,1.037572
gpt-5.5 (medium),12.584142,4.509317,4.506483,11.606733,10.05866,10.570505,2.790698,2.792453,1.084211,1.251075,1.190496
gpt-5.5 (high),10.948896,3.923354,3.920888,10.098496,8.776668,10.540298,2.790698,2.792453,1.084211,1.2475,1.038765
gpt-5.5 (xhigh),11.92916,4.274616,4.271929,11.002623,9.623596,10.473328,2.790698,2.792453,1.084211,1.239574,1.139004
gpt-5.6-luna (minimal),11.063314,3.964354,3.961863,10.204028,8.765335,10.664218,2.790698,2.792453,1.084211,1.262167,1.037424
gpt-5.6-luna (low),10.900619,3.906055,3.9036,10.053969,8.671682,10.620869,2.790698,2.792453,1.084211,1.257036,1.02634
gpt-5.6-luna (medium),10.919349,3.912767,3.910307,10.071244,8.685373,10.622348,2.790698,2.792453,1.084211,1.257211,1.02796
gpt-5.6-luna (high),11.824299,4.237041,4.234377,10.905907,9.427382,10.597332,2.790698,2.792453,1.084211,1.254251,1.115781
gpt-5.6-luna (xhigh),11.35107,4.067467,4.06491,10.469433,9.047707,10.600114,2.790698,2.792453,1.084211,1.25458,1.070844
gpt-5.6-sol (minimal),10.767985,3.858528,3.856103,9.931636,8.69969,10.457862,2.790698,2.792453,1.084211,1.237743,1.029655
gpt-5.6-sol (low),10.863117,3.892617,3.89017,10.019379,8.662182,10.595938,2.790698,2.792453,1.084211,1.254086,1.025215
gpt-5.6-sol (medium),10.93688,3.919049,3.916585,10.087413,8.704518,10.616001,2.790698,2.792453,1.084211,1.25646,1.030226
gpt-5.6-sol (high),10.850517,3.888102,3.885658,10.007758,8.667825,10.576758,2.790698,2.792453,1.084211,1.251815,1.025883
gpt-5.6-sol (xhigh),11.702136,4.193265,4.19063,10.793232,9.090469,10.876549,2.790698,2.792453,1.084211,1.287297,1.075905
gpt-5.6-sol (max)*,11.740309,4.206944,4.2043,10.82844,9.090469,10.912029,2.790698,2.792453,1.084211,1.291497,1.075905
gpt-5.6-terra (minimal),11.047622,3.958731,3.956243,10.189554,8.810217,10.594842,2.790698,2.792453,1.084211,1.253956,1.042736
gpt-5.6-terra (low),10.641683,3.81327,3.810873,9.815145,8.674961,10.36466,2.790698,2.792453,1.084211,1.226713,1.026728
gpt-5.6-terra (medium),10.680097,3.827035,3.824629,9.850575,8.691056,10.38281,2.790698,2.792453,1.084211,1.228861,1.028633
gpt-5.6-terra (high),10.782933,3.863884,3.861456,9.945423,8.610095,10.581353,2.790698,2.792453,1.084211,1.252359,1.01905
gpt-5.6-terra (xhigh),11.010989,3.945604,3.943125,10.155767,8.867864,10.491065,2.790698,2.792453,1.084211,1.241673,1.049559
"Median across GPT-5.x reasoning variants (rows flagged 1 in column N; live formulas, v1.0.0):",11.084301,3.971874,3.969378,10.223384,8.914835,10.576758,2.790698,2.792453,1.084211,1.251815,1.055118
Anchor and PQPC collapsed together (median / min / max across the same rows; column O):,1.42236,1.365563,2.425248,,,,,,,,
Full envelope across the same rows: min / median / mean / max:,10.641683,11.084301,11.479747,18.899695,,,,,,,
Staged pinch medians (Table 11 lower rows): A+PQPC+T / +R / +P; narrowing = full median ÷ pinched median:,1.14397,1.084211,1.0,9.689327,10.223384,11.084301,7.792892,,,,
