Pinching table (Lo Piano Q7; Ferson & Ginzburg 1996): envelope top-to-bottom ratio with each factor collapsed to its central in turn. Narrowing = full ratio / pinched ratio. Rows link to Levers.,,,,,,,,,,,
Model,Full envelope ratio,Pinch A,Pinch PQPC,Pinch P,Pinch T,Pinch R,Narrowing: A,Narrowing: PQPC,Narrowing: P,Narrowing: T,Narrowing: R
gpt-4o-mini,4.036715,1.44649,4.036715,3.723184,3.025704,4.036715,2.790698,1,1.084211,1.334141,1
gpt-5 (non-reasoning),10.724342,3.842889,3.840474,9.891383,8.449135,10.724342,2.790698,2.792453,1.084211,1.269283,1
gpt-5 (low),11.500068,4.120858,4.118268,10.606859,8.997352,10.799359,2.790698,2.792453,1.084211,1.278161,1.064884
gpt-5 (medium),12.649543,4.532753,4.529904,11.667054,9.958079,10.732762,2.790698,2.792453,1.084211,1.270279,1.178592
gpt-5 (high),11.940816,4.278792,4.276103,11.013374,9.411324,10.720019,2.790698,2.792453,1.084211,1.268771,1.11388
gpt-5 (xhigh),12.310415,4.411232,4.408459,11.354266,9.6687,10.757637,2.790698,2.792453,1.084211,1.273223,1.144342
gpt-5.2 (non-reasoning),10.491065,3.759298,3.756935,9.676225,8.449135,10.491065,2.790698,2.792453,1.084211,1.241673,1
gpt-5.2 (low),11.069386,3.96653,3.964037,10.209628,8.914835,10.491134,2.790698,2.792453,1.084211,1.241681,1.055118
gpt-5.2 (medium),10.809406,3.87337,3.870936,9.96984,8.728254,10.463734,2.790698,2.792453,1.084211,1.238439,1.033035
gpt-5.2 (high),10.808283,3.872968,3.870534,9.968805,8.827533,10.344979,2.790698,2.792453,1.084211,1.224383,1.044785
gpt-5.2 (xhigh),11.589997,4.153082,4.150472,10.689803,9.32705,10.49908,2.790698,2.792453,1.084211,1.242622,1.103906
gpt-5.4-nano (non-reasoning),10.529533,3.773083,3.770711,9.711705,8.449135,10.529533,2.790698,2.792453,1.084211,1.246226,1
