"Envelope log-factor report (Section 3.8 / after Table 9): ln(high/low) per factor, live formulas (v1.0.0). Larger = wider contribution. Total = sum; envelope ratio = exp(total).",,,,,,,,,,,
Model,ln A span,ln PQPC span,ln P span,ln T span,ln R span,Total log-width,Envelope ratio (top/bottom),,,,
gpt-4o-mini,1.026292,0,0.080852,0.288288,0,1.395431,4.036715,,,,
gpt-5 (non-reasoning),1.026292,1.02692,0.080852,0.238452,0,2.372516,10.724342,,,,
gpt-5 (low),1.026292,1.02692,0.080852,0.245423,0.062866,2.442353,11.500068,,,,
gpt-5 (medium),1.026292,1.02692,0.080852,0.239237,0.16432,2.537621,12.649543,,,,
gpt-5 (high),1.026292,1.02692,0.080852,0.238049,0.10785,2.479962,11.940816,,,,
gpt-5 (xhigh),1.026292,1.02692,0.080852,0.241552,0.13483,2.510446,12.310415,,,,
gpt-5.2 (non-reasoning),1.026292,1.02692,0.080852,0.21646,0,2.350524,10.491065,,,,
gpt-5.2 (low),1.026292,1.02692,0.080852,0.216466,0.053653,2.404183,11.069386,,,,
gpt-5.2 (medium),1.026292,1.02692,0.080852,0.213851,0.032501,2.380417,10.809406,,,,
gpt-5.2 (high),1.026292,1.02692,0.080852,0.202437,0.043812,2.380313,10.808283,,,,
gpt-5.2 (xhigh),1.026292,1.02692,0.080852,0.217224,0.098855,2.450142,11.589997,,,,
gpt-5.4-nano (non-reasoning),1.026292,1.02692,0.080852,0.22012,0,2.354184,10.529533,,,,
gpt-5.4-nano (low),1.026292,1.02692,0.080852,0.226009,0.029892,2.389965,10.913109,,,,
gpt-5.4-nano (medium),1.026292,1.02692,0.080852,0.210186,0.032171,2.376421,10.766299,,,,
gpt-5.4-nano (high),1.026292,1.02692,0.080852,0.22913,0.057888,2.421082,11.258036,,,,
gpt-5.4-nano (xhigh),1.026292,1.02692,0.080852,0.234309,0.06388,2.432254,11.384514,,,,
gpt-5.4-mini (non-reasoning),1.026292,1.02692,0.080852,0.207056,0,2.34112,10.392868,,,,
gpt-5.4-mini (low),1.026292,1.02692,0.080852,0.205855,0.038636,2.378554,10.789295,,,,
gpt-5.4-mini (medium),1.026292,1.02692,0.080852,0.210753,0.10377,2.448587,11.571984,,,,
gpt-5.4-mini (high),1.026292,1.02692,0.080852,0.209534,0.077619,2.421217,11.259554,,,,
gpt-5.4-mini (xhigh),1.026292,1.02692,0.080852,0.331923,0.476853,2.94284,18.969653,,,,
gpt-5.4 (non-reasoning),1.026292,1.02692,0.080852,0.230119,0,2.364183,10.635348,,,,
gpt-5.4 (low),1.026292,1.02692,0.080852,0.209992,0.022345,2.366401,10.65896,,,,
gpt-5.4 (medium),1.026292,1.02692,0.080852,0.228653,0.05633,2.419047,11.235152,,,,
gpt-5.4 (high),1.026292,1.02692,0.080852,0.215742,0.097042,2.446848,11.551876,,,,
gpt-5.4 (xhigh),1.026292,1.02692,0.080852,0.22611,0.14296,2.503134,12.22073,,,,
gpt-5.5 (minimal),1.026292,1.02692,0.080852,0.228632,0.148308,2.511004,12.31729,,,,
gpt-5.5 (low),1.026292,1.02692,0.080852,0.218973,0.036883,2.38992,10.912626,,,,
gpt-5.5 (medium),1.026292,1.02692,0.080852,0.224456,0.17437,2.53289,12.589835,,,,
gpt-5.5 (high),1.026292,1.02692,0.080852,0.220692,0.038033,2.392789,10.943978,,,,
gpt-5.5 (xhigh),1.026292,1.02692,0.080852,0.213652,0.130154,2.47787,11.915852,,,,
gpt-5.6-luna (minimal),1.026292,1.02692,0.080852,0.240173,0.036741,2.410978,11.144853,,,,
gpt-5.6-luna (low),1.026292,1.02692,0.080852,0.230194,0.025999,2.390257,10.916302,,,,
gpt-5.6-luna (medium),1.026292,1.02692,0.080852,0.228961,0.027576,2.390601,10.920056,,,,
gpt-5.6-luna (high),1.026292,1.02692,0.080852,0.228997,0.109554,2.472615,11.853407,,,,
gpt-5.6-luna (xhigh),1.026292,1.02692,0.080852,0.231488,0.068447,2.433999,11.404403,,,,
gpt-5.6-sol (minimal),1.026292,1.02692,0.080852,0.215097,0.029223,2.378384,10.78746,,,,
gpt-5.6-sol (low),1.026292,1.02692,0.080852,0.229132,0.024903,2.388098,10.892761,,,,
gpt-5.6-sol (medium),1.026292,1.02692,0.080852,0.239007,0.029778,2.402849,11.054628,,,,
gpt-5.6-sol (high),1.026292,1.02692,0.080852,0.22798,0.025554,2.387598,10.887315,,,,
gpt-5.6-sol (xhigh),1.026292,1.02692,0.080852,0.252545,0.073162,2.459771,11.702136,,,,
gpt-5.6-sol (max)*,1.026292,1.02692,0.080852,0.252545,0.073162,2.459771,11.702136,,,,
gpt-5.6-terra (minimal),1.026292,1.02692,0.080852,0.223681,0.041848,2.399593,11.018694,,,,
gpt-5.6-terra (low),1.026292,1.02692,0.080852,0.205226,0.026377,2.365667,10.651143,,,,
gpt-5.6-terra (medium),1.026292,1.02692,0.080852,0.214476,0.02823,2.376771,10.770066,,,,
gpt-5.6-terra (high),1.026292,1.02692,0.080852,0.227311,0.018871,2.380246,10.807563,,,,
gpt-5.6-terra (xhigh),1.026292,1.02692,0.080852,0.216702,0.04837,2.399136,11.013651,,,,
"Means across GPT-5.x reasoning variants (Corpus mode <> None, PQPC class 5x):",1.026292,1.02692,0.080852,0.227375,0.075942,2.43738,11.499103,,,,
Medians across all 47 rows:,1.026292,1.02692,0.080852,0.22611,0.041848,2.399593,11.018694,,,,
"Envelope ratio, median across GPT-5.x reasoning variants:",,,,,,,11.443026,,,,
,,,,0.202437,0,,,,,,
,,,,0.331923,0.476853,,,,,,
