Table 7 — Anchor scaling chain (all formulas). Anchor 0.577 Wh x 3.333 -> TPS scale -> PUE -> PQPC -> Reasoning multiplier.,,,,,,,,,,,
Model,"Anchor Wh/1,000 tokens",Tokens-Per-Second,TPS Adjustment,TPS-Scaled Wh,PUE Multiplier,PUE-Adjusted Wh,PQPC,PQPC-Adjusted Wh,Reasoning Mode,Reasoning Multiplier,"Adjusted Per-Model Wh/1,000 tokens"
gpt-4o-mini,1.923333,78.3,1,1.923333,1.05,2.0195,1,2.0195,None,1,2.0195
gpt-5 (non-reasoning),1.923333,60.78,1.288253,2.477739,1.05,2.601626,2.99,7.778863,None,1,7.778863
gpt-5 (low),1.923333,61,1.283607,2.468803,1.05,2.592243,2.99,7.750808,Low,2.23,17.284302
gpt-5 (medium),1.923333,63.47,1.233654,2.372727,1.05,2.491364,2.99,7.449177,Medium,3.84,28.604841
gpt-5 (high),1.923333,69,1.134783,2.182565,1.05,2.291693,2.99,6.852163,High,6.12,41.935241
gpt-5 (xhigh),1.923333,61.85,1.265966,2.434875,1.05,2.556618,2.99,7.644289,xHigh,3.75,28.666084
gpt-5.2 (non-reasoning),1.923333,60.3,1.298507,2.497463,1.05,2.622336,2.99,7.840784,None,1,7.840784
gpt-5.2 (low),1.923333,57.53,1.361029,2.617712,1.05,2.748598,2.99,8.218308,Low,1.67,13.724575
gpt-5.2 (medium),1.923333,57.78,1.35514,2.606386,1.05,2.736706,2.99,8.18275,Medium,1.84,15.05626
gpt-5.2 (high),1.923333,57.09,1.371519,2.637888,1.05,2.769782,2.99,8.281648,High,2.03,16.811745
gpt-5.2 (xhigh),1.923333,59.39,1.318404,2.53573,1.05,2.662516,2.99,7.960924,xHigh,3.22,25.634176
gpt-5.4-nano (non-reasoning),1.923333,156.58,0.500064,0.96179,1.05,1.009879,2.99,3.019538,None,1,3.019538
gpt-5.4-nano (low),1.923333,153.07,0.511531,0.983844,1.05,1.033036,2.99,3.088778,Low,1.61,4.972933
gpt-5.4-nano (medium),1.923333,156,0.501923,0.965365,1.05,1.013634,2.99,3.030765,Medium,1.83,5.546299
gpt-5.4-nano (high),1.923333,157.47,0.497238,0.956354,1.05,1.004171,2.99,3.002472,High,1.97,5.91487
gpt-5.4-nano (xhigh),1.923333,154.37,0.507223,0.975559,1.05,1.024337,2.99,3.062767,xHigh,3.7,11.332236
gpt-5.4-mini (non-reasoning),1.923333,145.41,0.538477,1.035672,1.05,1.087455,2.99,3.251491,None,1,3.251491
gpt-5.4-mini (low),1.923333,138.64,0.564772,1.086245,1.05,1.140557,2.99,3.410266,Low,1.44,4.910783
gpt-5.4-mini (medium),1.923333,140.63,0.55678,1.070874,1.05,1.124418,2.99,3.362009,Medium,1.67,5.614555
gpt-5.4-mini (high),1.923333,142.46,0.549628,1.057118,1.05,1.109974,2.99,3.318821,High,2.91,9.65777
gpt-5.4-mini (xhigh),1.923333,145.78,0.537111,1.033043,1.05,1.084695,2.99,3.243238,xHigh,12.49,40.508047
gpt-5.4 (non-reasoning),1.923333,85.94,0.911101,1.75235,1.05,1.839968,2.99,5.501504,None,1,5.501504
gpt-5.4 (low),1.923333,91.65,0.854337,1.643175,1.05,1.725334,2.99,5.158748,Low,1.35,6.96431
gpt-5.4 (medium),1.923333,94.25,0.830769,1.597846,1.05,1.677738,2.99,5.016438,Medium,1.75,8.778766
gpt-5.4 (high),1.923333,92.07,0.85044,1.635679,1.05,1.717463,2.99,5.135215,High,2.2,11.297474
gpt-5.4 (xhigh),1.923333,95.16,0.822825,1.582566,1.05,1.661695,2.99,4.968467,xHigh,3.89,19.327335
gpt-5.5 (minimal),1.923333,59.88,1.307615,2.51498,1.05,2.640729,2.99,7.89578,Minimal (measured),1.71,13.501783
gpt-5.5 (low),1.923333,61.38,1.27566,2.453519,1.05,2.576195,2.99,7.702823,Low,1.45,11.169093
gpt-5.5 (medium),1.923333,60.89,1.285925,2.473263,1.05,2.596926,2.99,7.76481,Medium,1.69,13.122529
gpt-5.5 (high),1.923333,60.69,1.290163,2.481414,1.05,2.605484,2.99,7.790398,High,2.39,18.619052
gpt-5.5 (xhigh),1.923333,59.91,1.30696,2.513721,1.05,2.639407,2.99,7.891826,xHigh,2.46,19.413891
gpt-5.6-luna (minimal),1.923333,129.9,0.602771,1.15933,1.05,1.217297,2.99,3.639717,Minimal (measured),1.6,5.823548
gpt-5.6-luna (low),1.923333,131.85,0.593857,1.142184,1.05,1.199294,2.99,3.585888,Low,1.43,5.127819
gpt-5.6-luna (medium),1.923333,134.91,0.580387,1.116278,1.05,1.172091,2.99,3.504553,Medium,1.58,5.537194
gpt-5.6-luna (high),1.923333,133.12,0.588191,1.131288,1.05,1.187852,2.99,3.551677,High,2.1,7.458522
gpt-5.6-luna (xhigh),1.923333,130.2,0.601382,1.156659,1.05,1.214492,2.99,3.631331,xHigh,2.58,9.368834
gpt-5.6-sol (minimal),1.923333,52.91,1.479871,2.846286,1.05,2.9886,2.99,8.935915,Minimal (measured),1.44,12.867718
gpt-5.6-sol (low),1.923333,53.57,1.461639,2.811219,1.05,2.95178,2.99,8.825822,Low,1.36,12.003118
gpt-5.6-sol (medium),1.923333,53.64,1.459732,2.80755,1.05,2.947928,2.99,8.814304,Medium,1.47,12.957027
gpt-5.6-sol (high),1.923333,53.63,1.460004,2.808074,1.05,2.948478,2.99,8.815948,High,1.64,14.458154
gpt-5.6-sol (xhigh),1.923333,55.21,1.418221,2.727712,1.05,2.864098,2.99,8.563653,xHigh,1.91,16.356577
gpt-5.6-sol (max)*,1.923333,55.21,1.418221,2.727712,1.05,2.864098,2.99,8.563653,Max (floor),1.91,16.356577
