Table 8 — uncertainty bounds (links to C_Low / C_High and Table 7). Columns H-J: market-based bounds under the procurement-lag crediting scenario (Section 4.8).,,,,,,,,,
Model,LB Low,LB Central,LB High,MB Low,MB Central,MB High,MB-lag Low,MB-lag Central,MB-lag High
gpt-4o-mini,0.25219,0.712884,1.018844,0.036864,0.104206,0.14893,0.113521,0.320899,0.458624
gpt-5 (non-reasoning),0.527152,2.745939,5.652484,0.077057,0.401389,0.826255,0.237293,1.236061,2.544418
gpt-5 (low),1.134729,6.101358,13.002076,0.16587,0.89187,1.900587,0.510789,2.746476,5.852776
gpt-5 (medium),1.7266,10.097509,21.830622,0.252387,1.47601,3.191105,0.777215,4.545309,9.826872
gpt-5 (high),2.707155,14.80314,32.1328,0.39572,2.163858,4.697033,1.218603,6.66351,14.464311
gpt-5 (xhigh),1.85917,10.119128,22.75731,0.271765,1.47917,3.326564,0.83689,4.555041,10.244013
gpt-5.2 (non-reasoning),0.533745,2.767797,5.595205,0.07802,0.404584,0.817883,0.240261,1.245901,2.518635
gpt-5.2 (low),0.92224,4.844775,10.222386,0.134809,0.708188,1.494264,0.415139,2.180835,4.601522
gpt-5.2 (medium),1.018621,5.31486,11.006269,0.148898,0.776903,1.608848,0.458524,2.39244,4.95438
gpt-5.2 (high),1.114818,5.934546,12.045626,0.162959,0.867486,1.760777,0.501826,2.671386,5.422238
gpt-5.2 (xhigh),1.63705,9.048864,18.901464,0.239297,1.322723,2.762934,0.736904,4.07327,8.508336
gpt-5.4-nano (non-reasoning),0.20571,1.065897,2.172104,0.03007,0.155808,0.317509,0.092599,0.479805,0.977754
gpt-5.4-nano (low),0.337853,1.755445,3.693896,0.049386,0.256603,0.539958,0.152082,0.790199,1.662776
gpt-5.4-nano (medium),0.375525,1.957844,4.041197,0.054893,0.286189,0.590725,0.16904,0.881307,1.819111
gpt-5.4-nano (high),0.38461,2.087949,4.336671,0.056221,0.305207,0.633916,0.173129,0.939873,1.952116
gpt-5.4-nano (xhigh),0.7474,4.000279,8.54511,0.109252,0.584743,1.249087,0.336436,1.800692,3.84651
gpt-5.4-mini (non-reasoning),0.223326,1.147776,2.33203,0.032645,0.167777,0.340886,0.100528,0.516662,1.049744
gpt-5.4-mini (low),0.331801,1.733506,3.588234,0.048501,0.253396,0.524512,0.149358,0.780323,1.615213
gpt-5.4-mini (medium),0.381567,1.981938,4.411043,0.055776,0.289711,0.644787,0.171759,0.892153,1.985594
gpt-5.4-mini (high),0.639092,3.409193,7.166347,0.09342,0.498341,1.047545,0.287682,1.53462,3.225871
gpt-5.4-mini (xhigh),2.067828,14.29934,39.081316,0.302266,2.090215,5.712736,0.930815,6.436729,17.592128
gpt-5.4 (non-reasoning),0.375596,1.942031,4.009372,0.054903,0.283878,0.586073,0.169072,0.874189,1.804785
gpt-5.4 (low),0.472541,2.458402,5.043762,0.069074,0.359358,0.737275,0.212711,1.106629,2.270407
gpt-5.4 (medium),0.573086,3.098905,6.454111,0.083771,0.452984,0.943434,0.25797,1.394946,2.905264
gpt-5.4 (high),0.745694,3.988008,8.582397,0.109002,0.58295,1.254537,0.335668,1.795169,3.863294
gpt-5.4 (xhigh),1.262781,6.822549,15.32918,0.184588,0.99729,2.240753,0.56843,3.071114,6.900302
gpt-5.5 (minimal),0.874044,4.766129,10.714862,0.127764,0.696692,1.566252,0.393444,2.145433,4.823206
gpt-5.5 (low),0.746842,3.94269,8.168534,0.10917,0.576325,1.194041,0.336185,1.774769,3.676997
gpt-5.5 (medium),0.861337,4.632253,10.839189,0.125907,0.677122,1.584425,0.387724,2.08517,4.87917
gpt-5.5 (high),1.23506,6.572525,13.522547,0.180536,0.960743,1.976667,0.555952,2.958567,6.087061
gpt-5.5 (xhigh),1.280607,6.853104,15.276568,0.187194,1.001757,2.233062,0.576455,3.084867,6.876619
gpt-5.6-luna (minimal),0.386838,2.055712,4.279714,0.056546,0.300495,0.62559,0.174132,0.925362,1.926478
gpt-5.6-luna (low),0.344876,1.81012,3.759366,0.050413,0.264595,0.549528,0.155243,0.81481,1.692247
gpt-5.6-luna (medium),0.367725,1.95463,4.015322,0.053752,0.285719,0.586942,0.165529,0.87986,1.807464
gpt-5.6-luna (high),0.489882,2.632858,5.792517,0.071609,0.38486,0.846725,0.220516,1.185159,2.607453
gpt-5.6-luna (xhigh),0.622674,3.307198,7.068014,0.09102,0.483432,1.033171,0.280291,1.488708,3.181607
gpt-5.6-sol (minimal),0.862168,4.542304,9.283812,0.126028,0.663974,1.357067,0.388098,2.04468,4.179031
gpt-5.6-sol (low),0.809319,4.237101,8.791727,0.118303,0.619361,1.285136,0.364308,1.907295,3.957522
gpt-5.6-sol (medium),0.851009,4.573831,9.307385,0.124397,0.668583,1.360513,0.383075,2.058872,4.189642
gpt-5.6-sol (high),0.974432,5.103729,10.573089,0.142438,0.746041,1.545528,0.438632,2.297401,4.759388
gpt-5.6-sol (xhigh),1.044787,5.773872,12.226245,0.152722,0.843999,1.787179,0.470302,2.59906,5.503542
gpt-5.6-sol (max)*,1.044787,5.773872,12.266128,0.152722,0.843999,1.793009,0.470302,2.59906,5.521495
gpt-5.6-terra (minimal),0.454122,2.378105,5.016971,0.066382,0.347621,0.733359,0.204419,1.070484,2.258348
gpt-5.6-terra (low),0.465277,2.424757,4.951328,0.068012,0.35444,0.723764,0.20944,1.091484,2.228799
gpt-5.6-terra (medium),0.460327,2.410399,4.916332,0.067289,0.352342,0.718648,0.207212,1.085021,2.213046
gpt-5.6-terra (high),0.49015,2.533525,5.285251,0.071648,0.37034,0.772575,0.220637,1.140445,2.379112
gpt-5.6-terra (xhigh),0.554046,2.944643,6.100593,0.080988,0.430435,0.891758,0.249399,1.325506,2.746131
