Table 9 — uncertainty bounds (links to C_Low / C_High and Table 8). Columns H-J: market-based bounds under the procurement-lag crediting scenario (Section 4.8; Lo Piano Q3).,,,,,,,,,
Model,LB Low,LB Central,LB High,MB Low,MB Central,MB High,MB-lag Low,MB-lag Central,MB-lag High
gpt-4o-mini,0.252394,0.712884,1.018844,0.036894,0.104206,0.14893,0.113613,0.320899,0.458624
gpt-5 (non-reasoning),0.527211,2.745939,5.653991,0.077065,0.401389,0.826476,0.23732,1.236061,2.545097
gpt-5 (low),1.134729,6.101358,13.049465,0.16587,0.89187,1.907514,0.510789,2.746476,5.874108
gpt-5 (medium),1.729316,10.097509,21.87506,0.252784,1.47601,3.197601,0.778437,4.545309,9.846876
gpt-5 (high),2.703497,14.80314,32.281961,0.395185,2.163858,4.718836,1.216957,6.66351,14.531455
gpt-5 (xhigh),1.854626,10.119128,22.83121,0.271101,1.47917,3.337367,0.834844,4.555041,10.277278
gpt-5.2 (non-reasoning),0.534344,2.767797,5.605837,0.078108,0.404584,0.819437,0.24053,1.245901,2.523421
gpt-5.2 (low),0.924804,4.844775,10.237017,0.135184,0.708188,1.496402,0.416293,2.180835,4.608108
gpt-5.2 (medium),1.020772,5.31486,11.033935,0.149212,0.776903,1.612893,0.459492,2.39244,4.966834
gpt-5.2 (high),1.11519,5.934546,12.053284,0.163014,0.867486,1.761897,0.501993,2.671386,5.425685
gpt-5.2 (xhigh),1.642679,9.048864,19.03864,0.24012,1.322723,2.782985,0.739438,4.07327,8.570084
gpt-5.4-nano (non-reasoning),0.206379,1.065897,2.173079,0.030168,0.155808,0.317651,0.0929,0.479805,0.978193
gpt-5.4-nano (low),0.337853,1.755445,3.687026,0.049386,0.256603,0.538953,0.152082,0.790199,1.659684
gpt-5.4-nano (medium),0.375525,1.957844,4.043018,0.054893,0.286189,0.590991,0.16904,0.881307,1.819931
gpt-5.4-nano (high),0.385658,2.087949,4.341756,0.056374,0.305207,0.634659,0.173601,0.939873,1.954405
gpt-5.4-nano (xhigh),0.747566,4.000279,8.510678,0.109276,0.584743,1.244054,0.336511,1.800692,3.831011
gpt-5.4-mini (non-reasoning),0.2236,1.147776,2.323842,0.032685,0.167777,0.339689,0.100652,0.516662,1.046058
gpt-5.4-mini (low),0.332574,1.733506,3.588234,0.048614,0.253396,0.524512,0.149705,0.780323,1.615213
gpt-5.4-mini (medium),0.381355,1.981938,4.413029,0.055745,0.289711,0.645077,0.171664,0.892153,1.986488
gpt-5.4-mini (high),0.639234,3.409193,7.197491,0.09344,0.498341,1.052098,0.287746,1.53462,3.23989
gpt-5.4-mini (xhigh),2.067828,14.29934,39.225977,0.302266,2.090215,5.733882,0.930815,6.436729,17.657246
gpt-5.4 (non-reasoning),0.376017,1.942031,3.99907,0.054965,0.283878,0.584567,0.169261,0.874189,1.800148
gpt-5.4 (low),0.47328,2.458402,5.044674,0.069182,0.359358,0.737408,0.213043,1.106629,2.270818
gpt-5.4 (medium),0.574457,3.098905,6.454111,0.083972,0.452984,0.943434,0.258587,1.394946,2.905264
gpt-5.4 (high),0.745443,3.988008,8.611262,0.108966,0.58295,1.258757,0.335555,1.795169,3.876288
gpt-5.4 (xhigh),1.260824,6.822549,15.408189,0.184302,0.99729,2.252302,0.567549,3.071114,6.935868
gpt-5.5 (minimal),0.874044,4.766129,10.765853,0.127764,0.696692,1.573705,0.393444,2.145433,4.846159
gpt-5.5 (low),0.749344,3.94269,8.177305,0.109536,0.576325,1.195323,0.337311,1.774769,3.680946
gpt-5.5 (medium),0.861337,4.632253,10.844093,0.125907,0.677122,1.585142,0.387724,2.08517,4.881378
gpt-5.5 (high),1.235615,6.572525,13.522547,0.180617,0.960743,1.976667,0.556202,2.958567,6.087061
gpt-5.5 (xhigh),1.282617,6.853104,15.283476,0.187487,1.001757,2.234072,0.577359,3.084867,6.879729
gpt-5.6-luna (minimal),0.386838,2.055712,4.311256,0.056546,0.300495,0.630201,0.174132,0.925362,1.940676
gpt-5.6-luna (low),0.344876,1.81012,3.764775,0.050413,0.264595,0.550318,0.155243,0.81481,1.694682
gpt-5.6-luna (medium),0.367935,1.95463,4.017871,0.053783,0.285719,0.587315,0.165623,0.87986,1.808611
gpt-5.6-luna (high),0.489115,2.632858,5.797683,0.071497,0.38486,0.84748,0.220171,1.185159,2.609778
gpt-5.6-luna (xhigh),0.623711,3.307198,7.113049,0.091171,0.483432,1.039754,0.280758,1.488708,3.20188
gpt-5.6-sol (minimal),0.862168,4.542304,9.300603,0.126028,0.663974,1.359522,0.388098,2.04468,4.186589
gpt-5.6-sol (low),0.808413,4.237101,8.805852,0.11817,0.619361,1.287201,0.3639,1.907295,3.963881
gpt-5.6-sol (medium),0.845852,4.573831,9.350581,0.123643,0.668583,1.366827,0.380753,2.058872,4.209086
gpt-5.6-sol (high),0.974432,5.103729,10.608946,0.142438,0.746041,1.550769,0.438632,2.297401,4.775528
gpt-5.6-sol (xhigh),1.044787,5.773872,12.226245,0.152722,0.843999,1.787179,0.470302,2.59906,5.503542
gpt-5.6-sol (max)*,1.044787,5.773872,12.226245,0.152722,0.843999,1.787179,0.470302,2.59906,5.503542
gpt-5.6-terra (minimal),0.454785,2.378105,5.011134,0.066478,0.347621,0.732506,0.204718,1.070484,2.25572
gpt-5.6-terra (low),0.464864,2.424757,4.951328,0.067952,0.35444,0.723764,0.209254,1.091484,2.228799
gpt-5.6-terra (medium),0.460531,2.410399,4.959953,0.067318,0.352342,0.725024,0.207304,1.085021,2.232682
gpt-5.6-terra (high),0.489986,2.533525,5.295559,0.071624,0.37034,0.774082,0.220563,1.140445,2.383752
gpt-5.6-terra (xhigh),0.555413,2.944643,6.117123,0.081188,0.430435,0.894174,0.250014,1.325506,2.753572
