"Table B1 — OpenAI TPS summary, daily medians pooled per calendar day, full campaign 24 Jun - 22 Aug 2026.",,,
Model variant,"Mean visible TPS (o200k, daily medians)",SD,Days (n)
gpt-4o-mini,80.1,23.9,57.0
gpt-5 (high),68.1,15.7,56.0
gpt-5 (low),61.7,14.2,57.0
gpt-5 (medium),60.8,14.5,57.0
gpt-5 (minimal),61.4,13.3,57.0
gpt-5 (xhigh),63.8,16.7,56.0
gpt-5.2 (high),57.5,6.4,56.0
gpt-5.2 (low),57.0,6.0,57.0
gpt-5.2 (medium),57.9,6.3,57.0
gpt-5.2 (minimal),59.6,6.4,57.0
gpt-5.2 (xhigh),59.1,6.9,56.0
gpt-5.4 (high),93.4,11.3,56.0
gpt-5.4 (low),92.1,16.3,57.0
gpt-5.4 (medium),93.0,10.7,57.0
gpt-5.4 (minimal),86.0,12.7,57.0
gpt-5.4 (xhigh),95.6,10.1,44.0
gpt-5.4-mini (high),140.4,13.5,56.0
gpt-5.4-mini (low),137.2,14.3,57.0
gpt-5.4-mini (medium),136.7,15.2,57.0
gpt-5.4-mini (minimal),140.5,18.1,57.0
gpt-5.4-mini (xhigh),139.2,24.5,23.0
gpt-5.4-nano (high),155.2,19.5,56.0
gpt-5.4-nano (low),154.1,18.5,57.0
gpt-5.4-nano (medium),152.3,22.1,57.0
gpt-5.4-nano (minimal),156.6,18.7,57.0
gpt-5.4-nano (xhigh),153.7,19.8,56.0
gpt-5.5 (high),61.5,9.0,56.0
gpt-5.5 (low),61.2,8.6,57.0
gpt-5.5 (medium),61.4,9.1,57.0
gpt-5.5 (minimal),60.9,9.2,57.0
gpt-5.5 (xhigh),61.4,9.9,56.0
gpt-5.6-luna (high),131.4,17.8,41.0
gpt-5.6-luna (low),130.0,21.1,41.0
gpt-5.6-luna (medium),135.1,29.1,41.0
gpt-5.6-luna (minimal),127.8,19.9,41.0
gpt-5.6-luna (xhigh),130.1,20.3,41.0
gpt-5.6-sol (high),53.5,6.6,39.0
gpt-5.6-sol (low),53.2,8.2,41.0
gpt-5.6-sol (medium),54.4,6.5,40.0
gpt-5.6-sol (minimal),53.9,6.4,40.0
gpt-5.6-sol (xhigh),54.7,8.5,40.0
gpt-5.6-terra (high),94.0,9.7,40.0
gpt-5.6-terra (low),93.1,9.7,39.0
gpt-5.6-terra (medium),93.5,9.1,40.0
gpt-5.6-terra (minimal),94.5,11.9,40.0
gpt-5.6-terra (xhigh),94.7,8.4,40.0
Mean SD across variants = 13.4. Variants with fewer than 8 collection days excluded (legacy gpt-5-mini/nano/5.1).,,,
