"Appendix C — staged low-range calculation (formulas). T and R bands are bootstrap percentile factors from the Bootstrap sheet (v1.0.0); A, PQPC and P are declared bounds (Assumptions). LB=Location-Based, MB=Market-Based.",,,,,,,,,,,
Model,Adjusted Wh,TPS Mean,TPS SD,Reasoning Mode,Fixed_low,TPS_low,R_low,Compounded,Wh_low,"LB gCO2e/1,000 tokens","MB gCO2e/1,000 tokens"
gpt-4o-mini,2.0195,80.1,23.9,None,0.4085,0.866,1,0.353761,0.71442,0.25219,0.036864
gpt-5 (non-reasoning),7.778863,61.4,13.3,None,0.216505,0.8867,1,0.191975,1.493347,0.527152,0.077057
gpt-5 (low),17.284302,61.7,14.2,Low,0.216505,0.8833,0.9725,0.18598,3.214531,1.134729,0.16587
gpt-5 (medium),28.604841,60.8,14.5,Medium,0.216505,0.8899,0.8875,0.170993,4.891218,1.7266,0.252387
gpt-5 (high),41.935241,68.1,15.7,High,0.216505,0.8882,0.951,0.182877,7.668993,2.707155,0.39572
gpt-5 (xhigh),28.666084,63.8,16.7,xHigh,0.216505,0.9,0.9429,0.183728,5.266771,1.85917,0.271765
gpt-5.2 (non-reasoning),7.840784,59.6,6.4,None,0.216505,0.8907,1,0.192841,1.512025,0.533745,0.07802
gpt-5.2 (low),13.724575,57,6,Low,0.216505,0.8991,0.9779,0.190358,2.612578,0.92224,0.134809
gpt-5.2 (medium),15.05626,57.9,6.3,Medium,0.216505,0.8998,0.9838,0.191655,2.885611,1.018621,0.148898
gpt-5.2 (high),16.811745,57.5,6.4,High,0.216505,0.8995,0.9646,0.187852,3.158124,1.114818,0.162959
gpt-5.2 (xhigh),25.634176,59.1,6.9,xHigh,0.216505,0.9016,0.9268,0.180912,4.637535,1.63705,0.239297
gpt-5.4-nano (non-reasoning),3.019538,156.6,18.7,None,0.216505,0.8914,1,0.192993,0.582748,0.20571,0.03007
gpt-5.4-nano (low),4.972933,154.1,18.5,Low,0.216505,0.8991,0.9887,0.19246,0.957091,0.337853,0.049386
gpt-5.4-nano (medium),5.546299,152.3,22.1,Medium,0.216505,0.8995,0.9849,0.191806,1.063811,0.375525,0.054893
gpt-5.4-nano (high),5.91487,155.2,19.5,High,0.216505,0.8803,0.9665,0.184205,1.089546,0.38461,0.056221
gpt-5.4-nano (xhigh),11.332236,153.7,19.8,xHigh,0.216505,0.8993,0.9596,0.186837,2.11728,0.7474,0.109252
gpt-5.4-mini (non-reasoning),3.251491,140.5,18.1,None,0.216505,0.8987,1,0.194573,0.632652,0.223326,0.032645
gpt-5.4-mini (low),4.910783,137.2,14.3,Low,0.216505,0.9022,0.9799,0.191405,0.939947,0.331801,0.048501
gpt-5.4-mini (medium),5.614555,136.7,15.2,Medium,0.216505,0.9003,0.9877,0.192522,1.080925,0.381567,0.055776
gpt-5.4-mini (high),9.65777,140.4,13.5,High,0.216505,0.8994,0.9627,0.187461,1.810459,0.639092,0.09342
gpt-5.4-mini (xhigh),40.508047,139.2,24.5,xHigh,0.216505,0.8561,0.7802,0.14461,5.857869,2.067828,0.302266
gpt-5.4 (non-reasoning),5.501504,86,12.7,None,0.216505,0.8933,1,0.193404,1.064012,0.375596,0.054903
gpt-5.4 (low),6.96431,92.1,16.3,Low,0.216505,0.8956,0.9913,0.192215,1.338644,0.472541,0.069074
gpt-5.4 (medium),8.778766,93,10.7,Medium,0.216505,0.8776,0.9733,0.184932,1.623472,0.573086,0.083771
gpt-5.4 (high),11.297474,93.4,11.3,High,0.216505,0.8899,0.9705,0.186984,2.112448,0.745694,0.109002
gpt-5.4 (xhigh),19.327335,95.6,10.1,xHigh,0.216505,0.9036,0.9461,0.185089,3.577282,1.262781,0.184588
gpt-5.5 (minimal),13.501783,60.9,9.2,Minimal (measured),0.216505,0.8903,0.9514,0.183387,2.476045,0.874044,0.127764
gpt-5.5 (low),11.169093,61.2,8.6,Low,0.216505,0.8957,0.9768,0.189425,2.1157,0.746842,0.10917
gpt-5.5 (medium),13.122529,61.4,9.1,Medium,0.216505,0.8834,0.9722,0.185943,2.440049,0.861337,0.125907
gpt-5.5 (high),18.619052,61.5,9,High,0.216505,0.8901,0.9751,0.187913,3.498754,1.23506,0.180536
gpt-5.5 (xhigh),19.413891,61.4,9.9,xHigh,0.216505,0.892,0.9676,0.186865,3.627782,1.280607,0.187194
gpt-5.6-luna (minimal),5.823548,127.8,19.9,Minimal (measured),0.216505,0.8815,0.986,0.188177,1.095859,0.386838,0.056546
gpt-5.6-luna (low),5.127819,130,21.1,Low,0.216505,0.8847,0.9947,0.190527,0.976987,0.344876,0.050413
gpt-5.6-luna (medium),5.537194,135.1,29.1,Medium,0.216505,0.8771,0.9907,0.18813,1.041715,0.367725,0.053752
gpt-5.6-luna (high),7.458522,131.4,17.8,High,0.216505,0.894,0.9613,0.186065,1.387769,0.489882,0.071609
gpt-5.6-luna (xhigh),9.368834,130.1,20.3,xHigh,0.216505,0.9007,0.9655,0.188278,1.763948,0.622674,0.09102
gpt-5.6-sol (minimal),12.867718,53.9,6.4,Minimal (measured),0.216505,0.8934,0.9813,0.189809,2.442402,0.862168,0.126028
gpt-5.6-sol (low),12.003118,53.2,8.2,Low,0.216505,0.8934,0.9875,0.191008,2.292689,0.809319,0.118303
gpt-5.6-sol (medium),12.957027,54.4,6.5,Medium,0.216505,0.8746,0.9826,0.18606,2.410791,0.851009,0.124397
gpt-5.6-sol (high),14.458154,53.5,6.6,High,0.216505,0.8951,0.9852,0.190925,2.76043,0.974432,0.142438
gpt-5.6-sol (xhigh),16.356577,54.7,8.5,xHigh,0.216505,0.8573,0.9749,0.180951,2.959738,1.044787,0.152722
gpt-5.6-sol (max)*,16.356577,54.7,8.5,Max (floor),0.216505,0.8573,0.9749,0.180951,2.959738,1.044787,0.152722
gpt-5.6-terra (minimal),6.736841,94.5,11.9,Minimal (measured),0.216505,0.8911,0.9898,0.19096,1.286465,0.454122,0.066382
