"Appendix C — staged high-range calculation (formulas). T and R bands are bootstrap percentile factors from the Bootstrap sheet (v1.0.0); A, PQPC and P are declared bounds (Assumptions). LB=Location-Based, MB=Market-Based.",,,,,,,,,,,
Model,Adjusted Wh,TPS Mean,TPS SD,Reasoning Mode,Fixed_high,TPS_high,R_high,Compounded,Wh_high,"LB gCO2e/1,000 tokens","MB gCO2e/1,000 tokens"
gpt-4o-mini,2.0195,80.1,23.9,None,1.236,1.1563,1,1.429187,2.886243,1.018844,0.14893
gpt-5 (non-reasoning),7.778863,61.4,13.3,None,1.82928,1.1253,1,2.058489,16.012702,5.652484,0.826255
gpt-5 (low),17.284302,61.7,14.2,Low,1.82928,1.1249,1.0356,2.131013,36.833075,13.002076,1.900587
gpt-5 (medium),28.604841,60.8,14.5,Medium,1.82928,1.1299,1.046,2.161981,61.843123,21.830622,3.191105
gpt-5 (high),41.935241,68.1,15.7,High,1.82928,1.1202,1.0593,2.170675,91.027762,32.1328,4.697033
gpt-5 (xhigh),28.666084,63.8,16.7,xHigh,1.82928,1.1394,1.079,2.24894,64.4683,22.75731,3.326564
gpt-5.2 (non-reasoning),7.840784,59.6,6.4,None,1.82928,1.1051,1,2.021537,15.850438,5.595205,0.817883
gpt-5.2 (low),13.724575,57,6,Low,1.82928,1.1179,1.0318,2.109982,28.958601,10.222386,1.494264
gpt-5.2 (medium),15.05626,57.9,6.3,Medium,1.82928,1.1139,1.0163,2.070848,31.179232,11.006269,1.608848
gpt-5.2 (high),16.811745,57.5,6.4,High,1.82928,1.101,1.0078,2.029747,34.123586,12.045626,1.760777
gpt-5.2 (xhigh),25.634176,59.1,6.9,xHigh,1.82928,1.1161,1.0231,2.088822,53.545223,18.901464,2.762934
gpt-5.4-nano (non-reasoning),3.019538,156.6,18.7,None,1.82928,1.114,1,2.037818,6.153269,2.172104,0.317509
gpt-5.4-nano (low),4.972933,154.1,18.5,Low,1.82928,1.1292,1.0187,2.10425,10.464295,3.693896,0.539958
gpt-5.4-nano (medium),5.546299,152.3,22.1,Medium,1.82928,1.1094,1.0171,2.064106,11.44815,4.041197,0.590725
gpt-5.4-nano (high),5.91487,155.2,19.5,High,1.82928,1.1087,1.0241,2.077,12.285188,4.336671,0.633916
gpt-5.4-nano (xhigh),11.332236,153.7,19.8,xHigh,1.82928,1.1416,1.0229,2.136128,24.207111,8.54511,1.249087
gpt-5.4-mini (non-reasoning),3.251491,140.5,18.1,None,1.82928,1.1107,1,2.031781,6.606318,2.33203,0.340886
gpt-5.4-mini (low),4.910783,137.2,14.3,Low,1.82928,1.111,1.0185,2.069928,10.164968,3.588234,0.524512
gpt-5.4-mini (medium),5.614555,136.7,15.2,Medium,1.82928,1.1104,1.0957,2.225621,12.495873,4.411043,0.644787
gpt-5.4-mini (high),9.65777,140.4,13.5,High,1.82928,1.1045,1.0404,2.102066,20.301265,7.166347,1.047545
gpt-5.4-mini (xhigh),40.508047,139.2,24.5,xHigh,1.82928,1.1887,1.2569,2.733085,110.711944,39.081316,5.712736
gpt-5.4 (non-reasoning),5.501504,86,12.7,None,1.82928,1.1286,1,2.064525,11.357995,4.009372,0.586073
gpt-5.4 (low),6.96431,92.1,16.3,Low,1.82928,1.1064,1.0137,2.051643,14.288279,5.043762,0.737275
gpt-5.4 (medium),8.778766,93,10.7,Medium,1.82928,1.1057,1.0297,2.082707,18.2836,6.454111,0.943434
gpt-5.4 (high),11.297474,93.4,11.3,High,1.82928,1.1001,1.0694,2.152051,24.312738,8.582397,1.254537
gpt-5.4 (xhigh),19.327335,95.6,10.1,xHigh,1.82928,1.1253,1.0915,2.246841,43.425439,15.32918,2.240753
gpt-5.5 (minimal),13.501783,60.9,9.2,Minimal (measured),1.82928,1.1137,1.1035,2.248126,30.353716,10.714862,1.566252
gpt-5.5 (low),11.169093,61.2,8.6,Low,1.82928,1.1175,1.0135,2.071817,23.140322,8.168534,1.194041
gpt-5.5 (medium),13.122529,61.4,9.1,Medium,1.82928,1.1052,1.1574,2.339939,30.705918,10.839189,1.584425
gpt-5.5 (high),18.619052,61.5,9,High,1.82928,1.1104,1.0129,2.057435,38.307497,13.522547,1.976667
gpt-5.5 (xhigh),19.413891,61.4,9.9,xHigh,1.82928,1.1057,1.1021,2.229146,43.276397,15.276568,2.233062
gpt-5.6-luna (minimal),5.823548,127.8,19.9,Minimal (measured),1.82928,1.1126,1.0229,2.081864,12.123836,4.279714,0.62559
gpt-5.6-luna (low),5.127819,130,21.1,Low,1.82928,1.1121,1.0209,2.07686,10.649763,3.759366,0.549528
gpt-5.6-luna (medium),5.537194,135.1,29.1,Medium,1.82928,1.1027,1.0184,2.054263,11.374851,4.015322,0.586942
gpt-5.6-luna (high),7.458522,131.4,17.8,High,1.82928,1.1213,1.0726,2.200087,16.409396,5.792517,0.846725
gpt-5.6-luna (xhigh),9.368834,130.1,20.3,xHigh,1.82928,1.13,1.0339,2.137161,20.022702,7.068014,1.033171
gpt-5.6-sol (minimal),12.867718,53.9,6.4,Minimal (measured),1.82928,1.1058,1.0104,2.043855,26.299752,9.283812,1.357067
gpt-5.6-sol (low),12.003118,53.2,8.2,Low,1.82928,1.1204,1.0124,2.074939,24.905742,8.791727,1.285136
gpt-5.6-sol (medium),12.957027,54.4,6.5,Medium,1.82928,1.0989,1.0123,2.034921,26.36653,9.307385,1.360513
gpt-5.6-sol (high),14.458154,53.5,6.6,High,1.82928,1.1205,1.0107,2.07164,29.952093,10.573089,1.545528
gpt-5.6-sol (xhigh),16.356577,54.7,8.5,xHigh,1.82928,1.1036,1.0489,2.117512,34.635255,12.226245,1.787179
gpt-5.6-sol (max)*,16.356577,54.7,8.5,Max (floor),1.82928,1.1072,1.0489,2.12442,34.748237,12.266128,1.793009
gpt-5.6-terra (minimal),6.736841,94.5,11.9,Minimal (measured),1.82928,1.1174,1.0321,2.109651,14.212383,5.016971,0.733359
gpt-5.6-terra (low),6.868999,93.1,9.7,Low,1.82928,1.1049,1.0103,2.04199,14.026425,4.951328,0.723764
gpt-5.6-terra (medium),6.828326,93.5,9.1,Medium,1.82928,1.1045,1.0095,2.039634,13.927286,4.916332,0.718648
gpt-5.6-terra (high),7.177125,94,9.7,High,1.82928,1.128,1.011,2.086126,14.972383,5.285251,0.772575
gpt-5.6-terra (xhigh),8.341764,94.7,8.4,xHigh,1.82928,1.1072,1.0229,2.07176,17.282133,6.100593,0.891758
